"stateroute","n"
2004,11
2006,10
2007,14
2008,13
2010,13
2012,10
2013,6
2015,8
2016,14
2017,13
2019,14
2020,13
2021,14
2023,11
2026,11
2027,12
2028,11
2031,10
2032,10
2033,13
2034,11
2035,13
2036,13
2038,14
2039,12
2041,3
2046,9
2048,11
2049,11
2051,10
2052,14
2053,14
2054,14
2055,11
2058,12
2061,12
2063,14
2066,14
2067,11
2068,13
2069,5
2070,10
2071,12
2073,9
2102,11
2106,1
2109,13
2137,8
2140,14
2141,12
2142,14
2201,13
2203,5
2207,14
2208,10
2209,13
2210,13
2214,14
2215,8
2216,7
2217,7
2218,14
2306,5
3001,8
3002,13
3003,14
3005,6
3009,5
3012,9
3013,13
3015,14
3023,9
3024,10
3025,7
3028,4
3030,7
3050,12
3052,11
3053,9
3054,6
3055,1
3060,4
3090,1
3101,4
3115,13
3122,5
3123,9
3131,11
3180,13
3191,9
3212,10
3216,14
3218,4
3221,11
3223,1
3231,11
3284,14
3313,9
3401,9
3402,11
3405,11
3406,14
3407,14
3410,14
3411,13
3412,10
3414,11
3416,1
3421,14
3422,11
3424,11
3425,12
3426,4
3427,11
3428,10
3429,13
3430,2
3431,9
3432,11
3433,13
3434,4
3435,11
3436,2
3439,8
3440,13
3442,4
3445,7
3760,5
3850,8
4001,4
4006,11
4007,11
4009,13
4010,14
4012,5
4013,7
4014,12
4015,12
4016,3
4017,14
4018,13
4019,14
4020,13
4024,9
4025,10
4026,13
4027,13
4029,13
4030,14
4031,8
4032,7
4033,11
4034,9
4036,6
4037,12
4042,11
4043,6
4044,10
4046,2
4049,12
4050,13
4054,4
4055,14
4062,10
4077,13
4078,12
4079,9
4096,5
4101,4
4103,1
4104,1
4106,10
4107,12
4108,4
4109,14
4110,2
4111,9
4112,9
4113,12
4114,14
4116,12
4119,1
4120,6
4121,11
4122,5
4123,3
4125,14
4127,10
4128,14
4129,13
4131,10
4137,2
4138,12
4139,11
4141,10
4143,12
4147,1
4149,1
4153,3
4157,4
4196,12
4201,13
4202,1
4203,6
4205,7
4206,1
4207,8
4208,9
4209,9
4210,12
4211,6
4212,14
4214,14
4215,14
4219,1
4220,7
4221,8
4222,7
4223,1
4225,13
4227,12
4228,10
4230,4
4231,8
4237,4
4239,6
4241,7
4251,13
4252,4
4255,1
4301,2
4306,8
4307,3
4308,5
4309,10
4310,7
4311,11
4312,14
4313,12
4314,7
4315,11
4319,3
4320,1
4321,5
4322,6
4326,8
4328,9
4329,10
4330,14
4331,5
4338,6
4340,4
4352,1
4355,1
4401,6
4404,10
4407,4
4408,11
4411,8
4412,7
4413,1
4421,9
4429,1
4430,5
4438,11
4508,3
4512,3
4540,4
4608,4
4712,3
6002,12
6009,6
6011,6
6013,13
6017,6
6020,13
6025,14
6026,4
6028,13
6029,5
6031,6
6051,14
6052,12
6053,9
6054,1
6055,2
6056,12
6057,13
6058,7
6059,14
6060,3
6061,1
6063,12
6064,14
6065,13
6066,10
6067,6
6068,8
6070,13
6072,1
6073,12
6077,10
6079,11
6080,11
6081,13
6082,11
6083,11
6101,9
6103,13
6105,1
6107,12
6108,12
6115,14
6116,11
6119,3
6121,14
6122,13
6123,11
6126,7
6127,14
6130,1
6133,12
6170,2
6172,1
6176,1
6177,1
6206,8
6219,2
7001,10
7002,11
7004,13
7006,12
7007,14
7012,7
7013,13
7016,11
7018,1
7021,12
7022,14
7025,12
7026,13
7027,14
7029,11
7030,3
7031,5
7033,6
7035,5
7036,1
7037,6
7038,5
7039,6
7041,4
7042,6
7043,3
7045,6
7046,2
7047,6
7048,3
7049,5
7103,12
7112,7
7114,9
7117,7
7118,11
11001,6
11004,6
11005,10
11007,8
11008,5
11009,12
11010,11
11011,8
11014,3
11016,2
11017,9
11018,1
11019,8
11020,13
11022,8
11023,9
11028,8
11029,14
11030,6
11031,3
11032,5
11033,14
11034,7
11036,4
11037,6
11044,2
11046,7
11048,8
11049,6
11053,13
11054,2
11055,6
11057,11
11058,13
11063,2
11065,10
11068,8
11069,10
11071,13
