AOU,rmse_occ,rmse_pres,rmse_gam,rmse_gam_pres,rmse_rf,rmse_rf_pres,rmse_me_pres,n_pres,n,glm_diff,gam_diff,rf_diff,PRIMARY_COM_NAME,ALPHA.CODE
4641,0.307339804,0.181906385,3.36E-05,5.90E-08,0.351180697,0.237610214,0.379312912,69,73,0.125433419,3.36E-05,0.113570484,Pacific-slope Flycatcher,PSFL
4090,0.196436981,0.087948336,0.137952444,2.81E-06,0.16643646,0.091221723,0.370572524,518,522,0.108488645,0.137949635,0.075214737,Red-bellied Woodpecker,RBWO
4860,0.295141898,0.183418349,0.235092068,0.09561576,0.247871953,0.173245781,0.38031799,504,525,0.111723549,0.139476308,0.074626172,Common Raven,CORA
4610,0.271836871,0.160258079,0.209156287,0.000873355,0.230275157,0.157774159,0.374051884,567,585,0.111578792,0.208282932,0.072500998,Eastern Wood-Pewee,EAWP
3190,0.281154921,0.151966818,0.056993789,4.12E-05,0.318671255,0.248722811,0.376379446,76,83,0.129188103,0.056952612,0.069948443,White-winged Dove,WWDO
4950,0.238578651,0.126791005,0.178946312,0.106263959,0.185481006,0.12986388,0.373765959,883,899,0.111787646,0.072682354,0.055617126,Brown-headed Cowbird,BHCO
4900,0.290237397,0.212454895,0.207446291,0.203125972,0.297886216,0.24280735,0.384843694,180,190,0.077782502,0.004320319,0.055078866,Fish Crow,FICR
7310,0.220807524,0.144091607,0.136946053,0.002264234,0.180567227,0.136391074,0.370557245,463,476,0.076715917,0.13468182,0.044176153,Tufted Titmouse,TUTI
4560,0.287032925,0.188927478,0.189584433,6.39E-06,0.210265683,0.169695235,0.376023219,567,591,0.098105447,0.18957804,0.040570448,Eastern Phoebe,EAPH
4520,0.251024639,0.184361613,0.201403596,1.66E-05,0.21065651,0.170982706,0.374268672,590,618,0.066663026,0.201387008,0.039673804,Great Crested Flycatcher,GCFL
7660,0.260584874,0.181852573,0.198310605,4.04E-06,0.209446555,0.171405065,0.377124094,596,618,0.078732301,0.198306564,0.03804149,Eastern Bluebird,EABL
4980,0.247662443,0.193163924,0.215999899,0.181740252,0.229695381,0.193694557,0.378756737,861,909,0.054498519,0.034259647,0.036000823,Red-winged Blackbird,RWBL
3160,0.147021149,0.11146303,0.111620759,0.000891208,0.144523769,0.116420717,0.371756226,878,895,0.035558119,0.110729551,0.028103052,Mourning Dove,MODO
6680,0.363137205,0.3279852,7.10E-05,1.75E-05,0.399998025,0.375066241,0.405237675,60,72,0.035152005,5.35E-05,0.024931785,Townsend's Warbler,TOWA
4930,0.282742434,0.246010711,0.23995787,0.224812334,0.258309557,0.234299596,0.384634094,839,911,0.036731723,0.015145536,0.024009961,European Starling,EUST
4050,0.285414543,0.219745063,0.24882013,0.190799615,0.248991027,0.225942094,0.382201643,596,633,0.06566948,0.058020515,0.023048933,Pileated Woodpecker,PIWO
4880,0.225406924,0.205076841,0.185941019,0.164821223,0.206410088,0.18585854,0.378830897,807,855,0.020330082,0.021119796,0.020551548,American Crow,AMCR
5190,0.33881852,0.287607089,0.277812674,0.259273122,0.288346443,0.268099622,0.395778716,731,810,0.051211431,0.018539552,0.020246822,House Finch,HOFI
6130,0.268979488,0.215663828,0.225809738,0.199231462,0.236337966,0.218031963,0.382415308,847,899,0.053315659,0.026578276,0.018306004,Barn Swallow,BARS
6140,0.301065236,0.250512215,0.238629207,0.20328865,0.246502203,0.231727523,0.385785102,691,755,0.050553021,0.035340557,0.014774681,Tree Swallow,TRES
7360,0.201835502,0.173131138,0.13495099,0.001765406,0.193045471,0.17857203,0.374285655,276,289,0.028704364,0.133185585,0.014473442,Carolina Chickadee,CACH
4120,0.262582781,0.203270744,0.198489436,0.158896853,0.210484588,0.19636016,0.373028523,613,666,0.059312038,0.039592583,0.014124428,Northern Flicker,NOFL
7550,0.266134272,0.213064038,0.187487823,0.087169298,0.216333748,0.207301315,0.380872743,494,522,0.053070235,0.100318525,0.009032433,Wood Thrush,WOTH
4680,0.343883744,0.367472035,0.218546136,1.79E-05,0.337706608,0.329923917,0.365244859,110,178,-0.023588291,0.218528215,0.00778269,Hammond's Flycatcher,HAFL
5010,0.305395184,0.248375053,0.23373897,0.231663988,0.251614468,0.244064509,0.387507888,559,611,0.057020131,0.002074981,0.007549958,Eastern Meadowlark,EAME
5970,0.325106603,0.259017003,0.217175241,0.220125923,0.248253296,0.241479427,0.379280292,375,414,0.066089601,-0.002950681,0.006773869,Blue Grosbeak,BLGR
3960,0.3267375,0.268845456,0.026348147,0.00020887,0.341509936,0.339337402,0.394804674,64,72,0.057892044,0.026139277,0.002172533,Ladder-backed Woodpecker,LBWO
4230,0.272461337,0.258547648,0.219751034,0.219885539,0.240087514,0.239182302,0.376040851,568,640,0.013913689,-0.000134505,0.000905211,Chimney Swift,CHSW
5110,0.223164718,0.189242473,0.167366905,0.161080391,0.187831119,0.187822966,0.376138986,697,735,0.033922245,0.006286514,8.15E-06,Common Grackle,COGR
7210,0.332986469,0.28974177,0.269551354,0.272500223,0.2837027,0.287544709,0.389279374,653,743,0.043244699,-0.002948869,-0.003842009,House Wren,HOWR
4320,0.256935989,0.312446827,0.081434557,0.219984203,0.337766877,0.344145289,0.39372538,78,92,-0.055510838,-0.138549646,-0.006378412,Broad-tailed Hummingbird,BTLH
7050,0.278769029,0.237217984,0.207040497,0.208739863,0.222848484,0.231194317,0.384962368,604,651,0.041551045,-0.001699366,-0.008345833,Brown Thrasher,BRTH
4440,0.295417005,0.253558519,0.241151825,0.239335534,0.245461317,0.25420666,0.385775448,695,762,0.041858486,0.001816291,-0.008745343,Eastern Kingbird,EAKI
5630,0.318858112,0.282419142,0.227910764,0.201592192,0.259149827,0.267913896,0.385286949,493,552,0.03643897,0.026318572,-0.008764069,Field Sparrow,FISP
6190,0.233115916,0.216168173,0.195434516,0.187978645,0.209888775,0.219211342,0.375457244,593,655,0.016947743,0.007455871,-0.009322567,Cedar Waxwing,CEDW
6882,0.354811491,0.330023468,0.306511663,0.319537195,0.307795733,0.317587507,0.402600542,762,904,0.024788022,-0.013025532,-0.009791774,House Sparrow,HOSP
5810,0.285566518,0.257301714,0.223658298,0.217487459,0.226091267,0.238372623,0.386879855,664,734,0.028264804,0.006170839,-0.012281356,Song Sparrow,SOSP
6550,0.239219621,0.237107652,0.14114806,0.193993763,0.210479553,0.223825395,0.281961641,174,388,0.002111969,-0.052845703,-0.013345842,Yellow-rumped Warbler,YRWA
7610,0.175580523,0.17161909,0.126224713,0.156038626,0.152179319,0.166299809,0.374412887,850,893,0.003961433,-0.029813914,-0.014120491,American Robin,AMRO
4470,0.322749569,0.321168907,0.263297481,0.300535219,0.300567728,0.315592407,0.39730314,295,353,0.001580662,-0.037237737,-0.015024679,Western Kingbird,WEKI
5870,0.245446715,0.228262817,0.187543929,0.175271885,0.200721702,0.216788817,0.323503098,482,733,0.017183898,0.012272044,-0.016067115,Eastern Towhee,EATO
6240,0.253079338,0.224160173,0.196926944,0.214536413,0.216519147,0.233518645,0.369200151,637,738,0.028919165,-0.017609469,-0.016999498,Red-eyed Vireo,REVI
6080,0.306830999,0.294470728,0.220989472,0.253621492,0.266603603,0.284161482,0.389900024,417,469,0.012360271,-0.03263202,-0.017557879,Scarlet Tanager,SCTA
4661,0.257926926,0.27429879,0.203465015,0.263164773,0.269131098,0.287110289,0.367303077,251,328,-0.016371864,-0.059699758,-0.017979191,Alder Flycatcher,ALFL
4670,0.274343073,0.273630337,0.202742253,0.191292264,0.245670131,0.264055426,0.385298262,318,356,0.000712736,0.01144999,-0.018385295,Least Flycatcher,LEFL
5580,0.285974634,0.265523549,0.107032645,0.219665392,0.285806707,0.304213161,0.356329889,142,196,0.020451085,-0.112632748,-0.018406454,White-throated Sparrow,WTSP
5900,0.332244264,0.355702651,0.222936918,7.79E-06,0.363714558,0.38346079,0.372583471,94,136,-0.023458387,0.222929126,-0.019746232,Green-tailed Towhee,GTTO
5600,0.289470275,0.269398525,0.201131215,0.216454313,0.224565658,0.244560429,0.380611792,757,850,0.02007175,-0.015323098,-0.019994771,Chipping Sparrow,CHSP
5070,0.284651977,0.248131116,0.190173297,0.209238356,0.189362123,0.211527332,0.320871876,492,786,0.036520861,-0.019065059,-0.022165209,Baltimore Oriole,BAOR
5930,0.153860321,0.142325947,0.067605732,0.119304472,0.131904531,0.154285001,0.368601105,569,602,0.011534374,-0.05169874,-0.02238047,Northern Cardinal,NOCA
4540,0.328440841,0.343629011,0.151940318,8.90E-05,0.336896566,0.362138023,0.379188721,118,159,-0.01518817,0.151851346,-0.025241457,Ash-throated Flycatcher,ATFL
5950,0.278371461,0.294165903,0.195792357,0.180715394,0.228158685,0.253579965,0.364760976,369,445,-0.015794442,0.015076963,-0.02542128,Rose-breasted Grosbeak,RBGR
6710,0.347915821,0.355797867,0.254759833,0.306722768,0.311261919,0.336697099,0.410232709,304,369,-0.007882046,-0.051962935,-0.02543518,Pine Warbler,PIWA
7590,0.365922667,0.366788156,0.305203232,0.341255821,0.334001434,0.359768408,0.39948119,307,427,-0.000865488,-0.036052589,-0.025766974,Hermit Thrush,HETH
6520,0.314491969,0.306722417,0.268388664,0.282546322,0.275152714,0.301782318,0.397651574,689,802,0.007769552,-0.014157658,-0.026629604,Yellow Warbler,YWAR
4430,0.284299578,0.249590332,0.016048709,7.65E-07,0.252211184,0.279270134,0.381923952,86,95,0.034709246,0.016047943,-0.02705895,Scissor-tailed Flycatcher,STFL
6070,0.302052708,0.299920668,0.231325517,0.239348195,0.303093757,0.331035031,0.394492268,186,218,0.00213204,-0.008022677,-0.027941274,Western Tanager,WETA
7040,0.284136434,0.274847301,0.217969705,0.23946511,0.23288304,0.261381779,0.379637143,653,748,0.009289133,-0.021495405,-0.028498739,Gray Catbird,GRCA
6290,0.303571184,0.304965712,0.220057927,0.28544484,0.275526953,0.306236615,0.397387043,214,241,-0.001394528,-0.065386913,-0.030709662,Blue-headed Vireo,BHVI
5290,0.25515481,0.246201447,0.187498765,0.219789838,0.205818945,0.238900396,0.385534152,700,759,0.008953363,-0.032291073,-0.033081452,American Goldfinch,AMGO
5620,0.352113865,0.362856611,0.202186201,0.280619812,0.315551911,0.350187094,0.369682667,111,181,-0.010742747,-0.07843361,-0.034635183,Brewer's Sparrow,BRSP
4020,0.296857368,0.348447557,0.18851767,2.40E-05,0.25900439,0.294008774,0.379096656,202,255,-0.05159019,0.188493639,-0.035004385,Yellow-bellied Sapsucker,YBSA
3250,0.259335377,0.267867644,0.218994923,0.237133689,0.231430524,0.266593675,0.391662538,779,866,-0.008532267,-0.018138766,-0.035163151,Turkey Vulture,TUVU
7380,0.336870181,0.365956553,0.246854556,0.242299897,0.351926933,0.388244682,0.381738524,119,180,-0.029086372,0.004554659,-0.036317749,Mountain Chickadee,MOCH
7290,0.320890119,0.271802891,0.162626379,3.85E-06,0.293315286,0.330140855,0.374049293,91,112,0.049087228,0.162622526,-0.036825569,Brown-headed Nuthatch,BHNU
7180,0.194670319,0.189425643,0.126599435,0.120193443,0.155885645,0.193105019,0.377732316,425,448,0.005244676,0.006405992,-0.037219374,Carolina Wren,CARW
4770,0.157894659,0.163488619,0.090510426,0.000230878,0.124570023,0.16241813,0.371894725,638,673,-0.005593961,0.090279548,-0.037848106,Blue Jay,BLJA
4620,0.293546755,0.32302324,0.234988378,0.303916299,0.282061728,0.320408679,0.394900027,250,314,-0.029476485,-0.068927921,-0.038346951,Western Wood-Pewee,WEWP
5420,0.360198705,0.384323046,0.313243786,0.362853563,0.332012516,0.370807293,0.408170366,448,597,-0.024124341,-0.049609777,-0.038794777,Savannah Sparrow,SAVS
4280,0.25797915,0.269946166,0.220681962,0.251776835,0.23339061,0.272609198,0.388769304,538,599,-0.011967016,-0.031094874,-0.039218588,Ruby-throated Hummingbird,RTHU
6740,0.290118368,0.320837118,0.224588177,0.233792832,0.258932909,0.298617318,0.3911102,399,515,-0.03071875,-0.009204655,-0.039684409,Ovenbird,OVEN
6800,0.331069977,0.368671485,0.236894409,0.299128304,0.345677857,0.386096179,0.392625191,122,178,-0.037601508,-0.062233895,-0.040418322,MacGillivray's Warbler,MGWA
5880,0.377111061,0.398134004,0.292405767,0.373320664,0.358077546,0.398628417,0.418425234,182,239,-0.021022943,-0.080914897,-0.040550871,Spotted Towhee,SPTO
4750,0.332315979,0.387142992,0.221679226,0.273913333,0.299881829,0.34060422,0.365958943,195,338,-0.054827012,-0.052234107,-0.04072239,Black-billed Magpie,BBMA
5730,0.315578794,0.331270297,0.001352889,0.00074081,0.297019709,0.338362178,0.370992057,72,90,-0.015691503,0.000612079,-0.041342469,Black-throated Sparrow,BTSP
6590,0.227883082,0.26351573,0.14782465,0.12246083,0.234328051,0.276948103,0.384194628,228,260,-0.035632648,0.02536382,-0.042620052,Chestnut-sided Warbler,CSWA
6480,0.343430397,0.347551701,0.261897091,0.298224832,0.29995216,0.343323872,0.409608184,384,461,-0.004121303,-0.036327741,-0.043371712,Northern Parula,NOPA
6120,0.375738011,0.408890499,0.336174279,0.389964708,0.353824388,0.397790073,0.430130401,608,786,-0.033152487,-0.053790429,-0.043965685,Cliff Swallow,CLSW
4650,0.333629791,0.348359114,0.255838074,0.293529883,0.285057935,0.331023095,0.375349935,304,429,-0.014729323,-0.037691809,-0.04596516,Acadian Flycatcher,ACFL
4780,0.254219395,0.31470914,0.187824345,0.246162698,0.283132292,0.329423303,0.350742271,128,209,-0.060489745,-0.058338353,-0.046291011,Steller's Jay,STJA
6810,0.247649142,0.263638035,0.192774188,0.243305246,0.212582528,0.259792501,0.380794057,773,896,-0.015988893,-0.050531058,-0.047209973,Common Yellowthroat,COYE
5100,0.341190834,0.352334582,0.262612314,0.331194319,0.31255204,0.360427866,0.404161528,276,352,-0.011143747,-0.068582005,-0.047875826,Brewer's Blackbird,BRBL
4740,0.376812963,0.415947633,0.286208382,0.329496699,0.303021394,0.350920584,0.390097694,493,780,-0.03913467,-0.043288317,-0.047899191,Horned Lark,HOLA
6291,0.336987729,0.365262051,0.035183064,0.26624435,0.341190151,0.389441382,0.391565569,75,93,-0.028274323,-0.231061286,-0.04825123,Plumbeous Vireo,PLVI
6270,0.35460745,0.36192453,0.295421148,0.323353502,0.284808939,0.333556427,0.399638567,593,789,-0.00731708,-0.027932354,-0.048747488,Warbling Vireo,WAVI
4940,0.360910618,0.368877953,0.243715662,0.296990488,0.294283066,0.343369166,0.399239781,321,414,-0.007967335,-0.053274826,-0.0490861,Bobolink,BOBO
7350,0.320017781,0.323546117,0.225083751,0.274345903,0.234440321,0.285962237,0.390838189,473,576,-0.003528336,-0.049262152,-0.051521916,Black-capped Chickadee,BCCH
5011,0.357327096,0.358895702,0.258696691,0.317134594,0.295865729,0.348528942,0.402803201,372,474,-0.001568605,-0.058437903,-0.052663213,Western Meadowlark,WEME
7560,0.33063546,0.376553048,0.245942166,0.278886786,0.283038538,0.337013927,0.400093335,273,370,-0.045917588,-0.03294462,-0.053975389,Veery,VEER
7630,0.300694744,0.361177288,1.39E-06,1.23E-05,0.332773414,0.387116036,0.401022365,68,95,-0.060482544,-1.09E-05,-0.054342622,Varied Thrush,VATH
6150,0.342533563,0.393605763,0.274459167,0.344400282,0.326526591,0.382854459,0.417301401,205,277,-0.0510722,-0.069941115,-0.056327868,Violet-green Swallow,VGSW
7510,0.311024049,0.3685872,0.262673457,0.315251293,0.277769852,0.334108891,0.399662312,509,633,-0.057563151,-0.052577836,-0.056339039,Blue-gray Gnatcatcher,BGGN
6730,0.347259365,0.39822683,0.234695103,0.262551633,0.31024194,0.366587029,0.400785241,229,303,-0.050967465,-0.02785653,-0.056345089,Prairie Warbler,PRAW
6670,0.316575073,0.371020372,0.23326582,0.312650934,0.295975005,0.353785339,0.402144058,201,276,-0.054445299,-0.079385114,-0.057810334,Black-throated Green Warbler,BTNW
6100,0.32342157,0.348530726,0.200240267,0.022657148,0.24988946,0.308434461,0.385531099,263,330,-0.025109156,0.177583119,-0.058545001,Summer Tanager,SUTA
5840,0.323800131,0.377231843,0.235996238,0.248885497,0.297010441,0.356629534,0.373303309,222,373,-0.053431712,-0.012889259,-0.059619093,Swamp Sparrow,SWSP
5060,0.315445101,0.302509306,0.224567147,0.237415828,0.243829186,0.30573803,0.390448458,452,526,0.012935795,-0.012848681,-0.061908844,Orchard Oriole,OROR
3940,0.223669833,0.26226958,0.191579294,0.248646485,0.203016839,0.265298336,0.377366786,761,899,-0.038599747,-0.057067191,-0.062281497,Downy Woodpecker,DOWO
6040,0.269470745,0.310111711,0.184721707,0.217450122,0.236082198,0.298933007,0.392370438,295,357,-0.040640966,-0.032728415,-0.062850809,Dickcissel,DICK
5170,0.318132011,0.349761512,0.222522243,0.302859087,0.2815787,0.345041143,0.39905716,245,317,-0.031629501,-0.080336844,-0.063462443,Purple Finch,PUFI
4690,0.341965263,0.385485527,0.236582148,0.305629196,0.328818743,0.393022367,0.379823071,114,188,-0.043520264,-0.069047048,-0.064203624,Dusky Flycatcher,DUFL
6292,0.393125003,0.422750934,4.31E-05,0.393087621,0.414587577,0.482486937,0.422356503,63,91,-0.02962593,-0.393044517,-0.06789936,Cassin's Vireo,CAVI
7030,0.222002387,0.277356401,0.165694631,0.227867551,0.186255091,0.256301211,0.334485261,545,872,-0.055354013,-0.062172919,-0.07004612,Northern Mockingbird,NOMO
7270,0.345931761,0.400875967,0.251430694,0.328300492,0.255636077,0.325931509,0.394817415,615,825,-0.054944206,-0.076869798,-0.070295432,White-breasted Nuthatch,WBNU
7150,0.313342071,0.397787141,0.256896142,0.360748738,0.318375443,0.388943475,0.394157432,165,255,-0.08444507,-0.103852596,-0.070568032,Rock Wren,ROWR
6620,0.308611296,0.372309023,0.213923406,0.316288205,0.308969266,0.382477155,0.389746919,141,216,-0.063697728,-0.1023648,-0.073507889,Blackburnian Warbler,BLBW
6570,0.328778243,0.396737812,0.184951328,0.000140564,0.295317069,0.369163782,0.401088142,143,193,-0.06795957,0.184810763,-0.073846712,Magnolia Warbler,MAWA
