"stateroute","year","aou","speciestotal"
2001,2016,2890,3
2001,2016,3131,20
2001,2016,3160,36
2001,2016,3250,8
2001,2016,3260,2
2001,2016,3370,1
2001,2016,3600,1
2001,2016,3940,2
2001,2016,4060,1
2001,2016,4090,19
2001,2016,4230,10
2001,2016,4280,1
2001,2016,4440,6
2001,2016,4520,6
2001,2016,4560,3
2001,2016,4610,2
2001,2016,4650,4
2001,2016,4770,16
2001,2016,4880,25
2001,2016,4930,44
2001,2016,4980,7
2001,2016,5010,11
2001,2016,5060,1
2001,2016,5110,10
2001,2016,5190,13
2001,2016,5290,3
2001,2016,5600,11
2001,2016,5630,3
2001,2016,5810,2
2001,2016,5870,8
2001,2016,5930,70
2001,2016,5970,4
2001,2016,5980,14
2001,2016,6040,2
2001,2016,6080,1
2001,2016,6100,3
2001,2016,6110,3
2001,2016,6120,8
2001,2016,6130,11
2001,2016,6170,1
2001,2016,6240,9
2001,2016,6280,6
2001,2016,6310,20
2001,2016,6480,2
2001,2016,6630,3
2001,2016,6710,2
2001,2016,6730,1
2001,2016,6770,2
2001,2016,6830,4
2001,2016,6882,9
2001,2016,7030,60
2001,2016,7050,12
2001,2016,7180,34
2001,2016,7310,38
2001,2016,7360,1
2001,2016,7510,5
2001,2016,7550,2
2001,2016,7610,53
2001,2016,7660,22
2001,2016,22860,6
2014,2016,3160,15
2014,2016,3250,4
2014,2016,3390,2
2014,2016,3870,2
2014,2016,3940,1
2014,2016,4090,16
2014,2016,4230,8
2014,2016,4440,2
2014,2016,4520,4
2014,2016,4560,10
2014,2016,4770,12
2014,2016,4880,64
2014,2016,4900,3
2014,2016,4930,7
2014,2016,4950,2
2014,2016,4980,7
2014,2016,5010,2
2014,2016,5060,5
2014,2016,5190,2
2014,2016,5600,7
2014,2016,5870,35
2014,2016,5930,34
2014,2016,5970,2
2014,2016,5980,18
2014,2016,6080,1
2014,2016,6100,3
2014,2016,6120,2
2014,2016,6130,13
2014,2016,6170,8
2014,2016,6240,5
2014,2016,6280,3
2014,2016,6310,6
2014,2016,6710,4
2014,2016,6810,5
2014,2016,6830,17
2014,2016,6840,1
2014,2016,6882,4
2014,2016,7030,20
2014,2016,7040,1
2014,2016,7050,4
2014,2016,7180,22
2014,2016,7310,16
2014,2016,7360,8
2014,2016,7510,3
2014,2016,7550,2
2014,2016,7610,5
2014,2016,7660,10
2014,2016,22860,1
2022,2016,2890,2
2022,2016,3100,1
2022,2016,3390,1
2022,2016,3870,6
2022,2016,4060,1
2022,2016,4090,4
2022,2016,4230,2
2022,2016,4440,1
2022,2016,4520,12
2022,2016,4770,16
2022,2016,4880,3
2022,2016,4930,19
2022,2016,4950,3
2022,2016,4980,10
2022,2016,5010,17
2022,2016,5110,11
2022,2016,5870,2
2022,2016,5930,23
2022,2016,5970,1
2022,2016,5980,13
2022,2016,6100,3
2022,2016,6280,1
2022,2016,6310,7
2022,2016,6480,2
2022,2016,6710,5
2022,2016,6830,2
2022,2016,7030,31
2022,2016,7180,13
2022,2016,7310,5
2022,2016,7550,3
2022,2016,7660,4
2022,2016,22860,1
2024,2016,2890,1
2024,2016,3100,2
2024,2016,3131,2
2024,2016,3160,28
2024,2016,3200,1
2024,2016,3250,4
2024,2016,3260,4
2024,2016,3390,4
2024,2016,3870,11
2024,2016,3940,3
2024,2016,4050,2
2024,2016,4060,1
2024,2016,4090,19
2024,2016,4230,5
2024,2016,4440,4
2024,2016,4520,13
2024,2016,4560,6
