"stateroute","bio.point.bio1","bio.point.bio2","bio.point.bio3","bio.point.bio4","bio.point.bio5","bio.point.bio6","bio.point.bio7","bio.point.bio8","bio.point.bio9","bio.point.bio10","bio.point.bio11","bio.point.bio12","bio.point.bio13","bio.point.bio14","bio.point.bio15","bio.point.bio16","bio.point.bio17","bio.point.bio18","bio.point.bio19","bio.mean.bio1","bio.mean.bio2","bio.mean.bio3","bio.mean.bio4","bio.mean.bio5","bio.mean.bio6","bio.mean.bio7","bio.mean.bio8","bio.mean.bio9","bio.mean.bio10","bio.mean.bio11","bio.mean.bio12","bio.mean.bio13","bio.mean.bio14","bio.mean.bio15","bio.mean.bio16","bio.mean.bio17","bio.mean.bio18","bio.mean.bio19","bio.var.bio1","bio.var.bio2","bio.var.bio3","bio.var.bio4","bio.var.bio5","bio.var.bio6","bio.var.bio7","bio.var.bio8","bio.var.bio9","bio.var.bio10","bio.var.bio11","bio.var.bio12","bio.var.bio13","bio.var.bio14","bio.var.bio15","bio.var.bio16","bio.var.bio17","bio.var.bio18","bio.var.bio19"
"2001",154,133,38,7759,324,-20,344,67,210,251,51,1391,159,80,19,410,261,302,392,151.512280701754,134.182456140351,38.5122807017544,7735.41754385965,321.452631578947,-23.2175438596491,344.670175438597,142.859649122807,207.449122807018,247.891228070175,48.4245614035088,1416.92631578947,159.785964912281,82.540350877193,18.4526315789474,417.715789473684,267.442105263158,304.60701754386,395.547368421053,13.0676303434643,3.07222634049914,0.25072893501359,851.018705213739,10.4880652335063,18.0018038052879,2.80632567333828,617.437978749691,12.9032122559921,13.0550284161107,14.6184086978008,336.77976278725,2.75332344946874,5.58727452433902,0.262713120830245,37.1407709414381,27.2686434395849,22.5351618482827,21.6500370644922
"2002",155,132,38,7729,323,-19,342,155,210,251,52,1422,163,85,18,416,274,307,395,153.691228070175,131.712280701754,38.0035087719298,7726.88421052632,321.39298245614,-20.9508771929825,342.343859649123,132.277192982456,209.659649122807,249.936842105263,50.3578947368421,1427.06666666667,163.010526315789,84.7578947368421,18.1298245614035,417.638596491228,274.733333333333,308.473684210526,396.761403508772,3.30573264146281,1.16340499135162,0.0950580677044724,1656.58161601186,4.28164072152212,4.87786014331604,1.85317519149988,1361.21514702249,3.14783790462071,3.22839140103781,4.43484062268347,420.731455399061,3.48932542624166,4.3531504818384,0.141536940943909,35.29498393872,32.4708920187793,19.355819125278,41.8231529528045
"2003",155,134,39,7717,325,-18,343,68,211,251,52,1388,159,79,19,412,259,300,394,152.256227758007,134.804270462633,38.6619217081851,7723.67971530249,322.409252669039,-22.4626334519573,344.871886120996,143.416370106762,208.195729537367,248.398576512456,49.3487544483986,1418.91814946619,159.434163701068,81.9395017793594,18.6797153024911,419.893238434164,266.163701067616,302.768683274021,398.081850533808,9.06982714794103,2.97941026944586,0.2388662938485,1418.96847991866,7.96405693950178,11.9066344687341,2.98352821555669,632.979588205389,9.272267412303,9.54056939501779,9.74936451448907,397.48256227758,3.33940010167768,3.10704117946111,0.247051347229283,57.9599898322318,22.5873919674631,22.4713014743264,28.6968479918658
"2004",156,136,40,7528,321,-18,339,72,212,250,55,1458,165,84,18,436,281,320,414,156.212765957447,134.769503546099,39.2056737588652,7537.62765957447,321.173758865248,-18.0531914893617,339.22695035461,73.7801418439716,211.737588652482,249.929078014184,55.2765957446809,1458.29787234043,165.145390070922,83.9787234042553,18.3900709219858,434.209219858156,280.875886524823,320.095744680851,411.939716312057,12.3887332475203,4.27052573130411,0.334771964362333,3079.19538880897,7.26863279573963,19.5950253653366,6.15471593346962,152.492415638172,10.9273365134651,9.34726533908786,18.0299840993413,537.910956311047,3.09266550566619,9.81449231468161,0.5092249059842,30.4364983215971,31.9809823073623,11.4890209737261,71.3522248302668
"2005",155,131,38,7555,319,-17,336,70,210,248,53,1426,164,78,19,426,275,311,396,153.654929577465,131.109154929577,38.4542253521127,7559.11971830986,317.93661971831,-18.2570422535211,336.193661971831,73.8908450704225,209.010563380282,247.683098591549,52.5669014084507,1436.08450704225,164.267605633803,79.7077464788732,18.5598591549296,427.732394366197,277.830985915493,314.464788732394,399.387323943662,6.21972826357438,3.78662967202508,0.291183496740158,3101.92201264122,10.3493256357936,6.28351913601752,3.83868760264769,172.472142039516,5.89741452247051,5.97695714925596,8.49374160155278,347.908027671328,2.06240979445578,6.19343801323844,0.452234609067835,24.5005723386254,23.1162096252426,36.1224306972577,30.082665604937
"2006",155,130,38,7695,321,-19,340,68,210,250,52,1418,164,82,18,418,274,308,393,152.926829268293,130.567944250871,37.98606271777,7667.11149825784,319.066202090592,-20.1567944250871,339.222996515679,78.6132404181185,208.808362369338,248.369337979094,50.4355400696864,1430.22648083624,164.118466898955,82.7770034843206,18.0801393728223,421.365853658537,276.989547038328,310.919860627178,397.149825783972,4.85826368753198,2.1133744304476,0.272532345703077,4786.79172047465,7.02707049048512,4.8949099680807,3.86618259788992,856.622621281158,4.89671304305451,6.04493067907702,5.37257864087132,409.364610998757,1.42647596306133,5.88716161886894,0.283765015472333,41.8202285519359,29.653736507395,32.969079700787,33.8201310884238
"2007",144,130,38,7669,310,-28,338,57,200,239,42,1482,168,88,18,437,290,320,414,145.747368421053,130.428070175439,37.9228070175439,7679.42456140351,312.473684210526,-26.9894736842105,339.463157894737,64.9964912280702,202.126315789474,241.371929824561,43.2701754385965,1461.01052631579,166.112280701754,86.3929824561403,17.719298245614,430.975438596491,284.947368421053,316.171929824561,407.80350877193,23.5838398813936,10.069631826044,0.501062515443538,2259.26629602174,42.2853965900667,23.4822831727205,7.34810971089696,482.87674820855,21.8501853224611,25.0654064739313,27.1063256733383,1483.59495922906,7.03664442797134,18.5351618482827,0.646281195947616,122.657845317519,91.6275018532246,93.0090684457623,123.468297504324
"2008",157,135,40,7490,322,-14,336,111,212,251,58,1410,166,78,20,433,269,312,398,154.125,134.425,39.6321428571429,7465.125,317.975,-17.1107142857143,335.085714285714,84.2964285714286,208.882142857143,247.457142857143,54.6821428571429,1420.06071428571,166.032142857143,78.7464285714286,19.2142857142857,432.246428571429,272.314285714286,317.089285714286,397.314285714286,11.9018817204301,6.0660394265233,0.498604710701485,6120.34632616487,17.2287634408602,10.9733614951357,2.4083973374296,370.352675371224,12.6563108038914,14.3780849974398,12.5688556067588,553.655798771121,4.56168714797747,6.11109831029186,0.513056835637481,34.2437147977471,34.6822324628776,55.3862647209421,45.6069636456733
"2009",147,128,38,7528,309,-24,333,63,203,241,46,1447,165,79,19,433,281,315,407,150.704225352113,131.471830985915,38.6760563380282,7552.72183098592,314.904929577465,-20.5880281690141,335.492957746479,76.6654929577465,206.133802816901,244.897887323944,49.9612676056338,1435.64084507042,165.154929577465,79.2640845070423,18.887323943662,432.105633802817,277.697183098592,314.447183098592,402.838028169014,24.5129149455034,6.91439804907182,0.523664957945553,1039.42411536356,29.2453466381327,19.6282660628079,3.31797143283731,422.534352759668,22.7382172896033,24.5867093017469,25.1610386701836,779.397053700294,2.54835017170159,6.54132036032449,0.729308714477679,42.978201363659,69.2931369133529,59.2445503409147,58.6945204797691
"2010",159,138,41,7125,318,-12,330,79,212,247,63,1468,174,81,20,456,281,342,420,160.436170212766,137.787234042553,41.3333333333333,7117.8475177305,319.322695035461,-10.2056737588652,329.528368794326,80.8120567375886,212.91134751773,248.684397163121,64.9184397163121,1458.1134751773,172.485815602837,79.5248226950355,20.0673758865248,452.478723404255,277.741134751773,339.563829787234,416.801418439716,15.2503596577572,3.04353751798289,0.329774614472123,6750.05139951036,17.884821180687,17.9860175159638,7.59527775674516,19.6620605234598,13.2981625905454,11.5121400267535,18.9292673077408,606.520885389061,6.75602584488024,6.85525352716994,0.297935438277681,52.6063072613008,43.8864869639837,54.2823881275081,87.92483783852
