aou,fifteen_pres,five_pres,n_routes,five_year_prop,fift_year_prop
2881,68,NA,193,NA,0.352331606
2890,395,354,467,0.758029979,0.845824411
3000,188,122,420,0.29047619,0.447619048
3120,65,50,141,0.354609929,0.460992908
3160,878,868,895,0.969832402,0.981005587
3190,76,59,83,0.710843373,0.915662651
3200,56,NA,69,NA,0.811594203
3250,779,688,866,0.794457275,0.899538106
3390,359,283,556,0.508992806,0.645683453
3850,85,68,112,0.607142857,0.758928571
3870,532,476,590,0.806779661,0.901694915
3880,320,241,574,0.419860627,0.557491289
3920,72,NA,72,NA,1
3930,686,567,884,0.641402715,0.7760181
3940,761,683,899,0.759733037,0.846496107
3960,64,53,72,0.736111111,0.888888889
4020,202,186,255,0.729411765,0.792156863
4021,83,74,150,0.493333333,0.553333333
4050,596,530,633,0.83728278,0.941548183
4060,390,311,625,0.4976,0.624
4090,518,492,522,0.942528736,0.992337165
4120,613,583,666,0.875375375,0.92042042
4230,568,528,640,0.825,0.8875
4250,64,NA,184,NA,0.347826087
4280,538,456,599,0.761268781,0.898163606
4290,93,65,162,0.401234568,0.574074074
4320,78,57,92,0.619565217,0.847826087
4330,64,52,91,0.571428571,0.703296703
4430,86,79,95,0.831578947,0.905263158
4440,695,653,762,0.856955381,0.912073491
4470,295,263,353,0.745042493,0.835694051
4480,54,NA,62,NA,0.870967742
4520,590,576,618,0.932038835,0.954692557
4540,118,112,159,0.704402516,0.742138365
4560,567,544,591,0.920473773,0.959390863
4570,187,159,268,0.593283582,0.697761194
4590,205,156,456,0.342105263,0.449561404
4610,567,541,585,0.924786325,0.969230769
4620,250,221,314,0.703821656,0.796178344
4630,59,NA,162,NA,0.364197531
4640,60,52,142,0.366197183,0.422535211
4641,69,65,73,0.890410959,0.945205479
4650,304,266,429,0.62004662,0.708624709
4660,414,338,729,0.463648834,0.567901235
4661,251,216,328,0.658536585,0.765243902
4670,318,276,356,0.775280899,0.893258427
4680,110,89,178,0.5,0.617977528
4690,114,100,188,0.531914894,0.606382979
4740,493,454,780,0.582051282,0.632051282
4750,195,180,338,0.532544379,0.576923077
4770,638,623,673,0.925705795,0.947994056
4780,128,117,209,0.559808612,0.612440191
4840,114,88,166,0.530120482,0.686746988
4860,504,458,525,0.872380952,0.96
4880,807,790,855,0.923976608,0.943859649
4900,180,160,190,0.842105263,0.947368421
4910,85,73,173,0.421965318,0.49132948
4920,50,NA,50,NA,1
4930,839,818,911,0.89791438,0.920965971
4940,321,295,414,0.712560386,0.775362319
4950,883,869,899,0.966629588,0.982202447
4970,154,126,306,0.411764706,0.503267974
4980,861,845,909,0.929592959,0.947194719
5010,559,538,611,0.880523732,0.914893617
5011,372,333,474,0.702531646,0.784810127
5060,452,405,526,0.769961977,0.859315589
5070,492,469,786,0.596692112,0.625954198
5080,192,167,252,0.662698413,0.761904762
5100,276,252,352,0.715909091,0.784090909
5110,697,679,735,0.923809524,0.94829932
5120,111,90,195,0.461538462,0.569230769
5140,147,115,271,0.424354244,0.542435424
5150,53,NA,53,NA,1
5170,245,210,317,0.662460568,0.772870662
5180,95,80,131,0.610687023,0.72519084
5190,731,674,810,0.832098765,0.902469136
5210,149,120,318,0.377358491,0.468553459
5220,51,NA,51,NA,1
5290,700,667,759,0.878787879,0.92226614
5300,110,99,164,0.603658537,0.670731707
5330,237,185,354,0.52259887,0.669491525
5400,392,360,587,0.613287905,0.667802385
5420,448,402,597,0.673366834,0.75041876
5460,448,385,634,0.607255521,0.706624606
5470,73,51,253,0.201581028,0.288537549
5480,55,NA,103,NA,0.533980583
5520,309,269,439,0.612756264,0.703872437
5540,118,106,181,0.585635359,0.651933702
5580,142,127,196,0.647959184,0.724489796
5600,757,730,850,0.858823529,0.890588235
5610,145,125,180,0.694444444,0.805555556
5620,111,100,181,0.552486188,0.613259669
5630,493,453,552,0.820652174,0.893115942
5730,72,69,90,0.766666667,0.8
5780,72,58,93,0.623655914,0.774193548
5810,664,649,734,0.884196185,0.904632153
5830,145,124,235,0.527659574,0.617021277
5840,222,193,373,0.517426273,0.595174263
5850,92,86,165,0.521212121,0.557575758
5870,482,443,733,0.604365621,0.657571623
5880,182,161,239,0.673640167,0.761506276
5900,94,79,136,0.580882353,0.691176471
5930,569,557,602,0.925249169,0.945182724
5950,369,347,445,0.779775281,0.829213483
5960,196,181,268,0.675373134,0.731343284
5970,375,341,414,0.823671498,0.905797101
5980,579,559,683,0.818448023,0.8477306
5990,148,125,208,0.600961538,0.711538462
6010,70,63,88,0.715909091,0.795454545
6040,295,251,357,0.703081232,0.826330532
6050,74,56,103,0.54368932,0.718446602
6070,186,163,218,0.747706422,0.853211009
6080,417,371,469,0.791044776,0.8891258
6100,263,234,330,0.709090909,0.796969697
6110,458,387,646,0.599071207,0.708978328
6120,608,520,786,0.661577608,0.773536896
6130,847,821,899,0.91323693,0.942157953
6140,691,630,755,0.834437086,0.915231788
6150,205,172,277,0.620938628,0.740072202
6160,302,229,609,0.376026273,0.49589491
6170,682,553,880,0.628409091,0.775
6190,593,549,655,0.838167939,0.905343511
6220,302,256,666,0.384384384,0.453453453
6240,637,602,738,0.815718157,0.863143631
6270,593,542,789,0.686945501,0.751584284
6280,409,359,512,0.701171875,0.798828125
6290,214,181,241,0.751037344,0.887966805
6291,75,69,93,0.741935484,0.806451613
6292,63,55,91,0.604395604,0.692307692
6310,300,272,394,0.69035533,0.76142132
6330,119,89,188,0.473404255,0.632978723
6360,340,290,461,0.629067245,0.737527115
6370,131,103,309,0.333333333,0.42394822
6390,150,112,286,0.391608392,0.524475524
6410,171,125,350,0.357142857,0.488571429
6420,68,51,285,0.178947368,0.238596491
6450,168,145,251,0.577689243,0.669322709
6460,160,135,235,0.574468085,0.680851064
6480,384,323,461,0.700650759,0.8329718
6520,689,622,802,0.775561097,0.859102244
6540,120,94,169,0.556213018,0.710059172
6550,174,153,388,0.394329897,0.448453608
6570,143,124,193,0.642487047,0.740932642
6580,80,56,188,0.29787234,0.425531915
6590,228,204,260,0.784615385,0.876923077
6620,141,115,216,0.532407407,0.652777778
6630,172,136,274,0.496350365,0.627737226
6650,85,74,142,0.521126761,0.598591549
6670,201,172,276,0.623188406,0.72826087
6680,60,52,72,0.722222222,0.833333333
6710,304,269,369,0.72899729,0.823848238
6730,229,194,303,0.640264026,0.755775578
6740,399,368,515,0.714563107,0.774757282
6750,181,150,289,0.519031142,0.626297578
6760,223,156,406,0.384236453,0.549261084
6770,218,187,307,0.609120521,0.71009772
6790,151,124,194,0.639175258,0.778350515
6800,122,112,178,0.629213483,0.685393258
6810,773,731,896,0.815848214,0.862723214
6830,394,347,611,0.56792144,0.644844517
6840,217,187,337,0.554896142,0.643916914
6850,160,136,194,0.701030928,0.824742268
6860,112,78,186,0.419354839,0.602150538
6870,394,337,553,0.609403255,0.712477396
6882,762,729,904,0.806415929,0.842920354
7020,76,65,129,0.503875969,0.589147287
7030,545,500,872,0.573394495,0.625
7040,653,606,748,0.810160428,0.872994652
7050,604,573,651,0.880184332,0.927803379
7150,165,143,255,0.560784314,0.647058824
7170,62,NA,197,NA,0.314720812
7180,425,400,448,0.892857143,0.948660714
7190,149,123,208,0.591346154,0.716346154
7210,653,600,743,0.807537012,0.878869448
7222,146,127,311,0.408360129,0.469453376
7240,146,122,219,0.557077626,0.666666667
7250,137,101,539,0.187384045,0.254174397
7260,230,173,450,0.384444444,0.511111111
7270,615,572,825,0.693333333,0.745454545
7280,312,270,433,0.623556582,0.720554273
7290,91,78,112,0.696428571,0.8125
7310,463,447,476,0.93907563,0.972689076
7350,473,446,576,0.774305556,0.821180556
7360,276,271,289,0.937716263,0.955017301
7380,119,101,180,0.561111111,0.661111111
7410,51,NA,51,NA,1
7430,100,77,146,0.52739726,0.684931507
7480,172,143,361,0.396121884,0.476454294
7490,173,145,303,0.478547855,0.570957096
7510,509,436,633,0.68878357,0.804107425
7540,104,87,186,0.467741935,0.559139785
7550,494,461,522,0.883141762,0.946360153
7560,273,250,370,0.675675676,0.737837838
7580,198,172,257,0.6692607,0.770428016
7590,307,282,427,0.660421546,0.718969555
7610,850,830,893,0.929451288,0.951847704
7630,68,63,95,0.663157895,0.715789474
7660,596,574,618,0.928802589,0.964401294
7670,90,72,131,0.549618321,0.687022901
7680,140,124,213,0.582159624,0.657276995
22860,395,312,395,0.789873418,1
