"","aou","abs_abs_glmocc","abs_pres_glmocc","pres_abs_glmocc","pres_pres_glmocc","abs_abs_glmpr","abs_pres_glmpr","pres_abs_glmpr","pres_pres_glmpr","abs_abs_gamocc","abs_pres_gamocc","pres_abs_gamocc","pres_pres_gamocc","abs_abs_gampr","abs_pres_gampr","pres_abs_gampr","pres_pres_gampr","abs_abs_rfocc","abs_pres_rfocc","pres_abs_rfocc","pres_pres_rfocc","abs_abs_rfpr","abs_pres_rfpr","pres_abs_rfpr","pres_pres_rfpr","abs_abs_maxpr","abs_pres_maxpr","pres_abs_maxpr","pres_pres_maxpr","length","sensitivity_glmocc","specificity_glmocc","pp_glmocc","np_glmocc","sensitivity_glmpr","specificity_glmpr","pp_glmpr","np_glmpr","sensitivity_gamocc","specificity_gamocc","pp_gamocc","np_gamocc","sensitivity_gampr","specificity_gampr","pp_gampr","np_gampr","sensitivity_rfocc","specificity_rfocc","pp_rfocc","np_rfocc","sensitivity_rfpr","specificity_rfpr","pp_rfpr","np_rfpr","sensitivity_max","specificity_max","pp_max","np_max"
"1",2881,170,8,12,3,114,1,68,10,179,9,3,2,126,1,56,10,173,8,9,3,122,2,60,9,37,1,145,10,193,27.2727272727273,93.4065934065934,20,95.5056179775281,90.9090909090909,62.6373626373626,12.8205128205128,99.1304347826087,18.1818181818182,98.3516483516484,40,95.2127659574468,90.9090909090909,69.2307692307692,15.1515151515152,99.2125984251969,27.2727272727273,95.0549450549451,25,95.5801104972376,81.8181818181818,67.032967032967,13.0434782608696,98.3870967741936,90.9090909090909,20.3296703296703,6.45161290322581,97.3684210526316
"2",2890,160,20,98,189,28,1,230,208,164,14,94,195,55,2,203,207,162,13,96,196,56,1,202,208,258,209,0,0,467,90.4306220095694,62.015503875969,65.8536585365854,88.8888888888889,99.5215311004785,10.8527131782946,47.4885844748858,96.551724137931,93.3014354066986,63.5658914728682,67.4740484429066,92.1348314606742,99.0430622009569,21.3178294573643,50.4878048780488,96.4912280701754,93.7799043062201,62.7906976744186,67.1232876712329,92.5714285714286,99.5215311004785,21.7054263565891,50.7317073170732,98.2456140350877,0,100,NA,55.2462526766595
"3",3000,358,22,36,4,231,9,163,17,349,16,45,10,231,5,163,21,372,21,22,5,227,6,167,20,394,26,0,0,420,15.3846153846154,90.8629441624365,10,94.2105263157895,65.3846153846154,58.6294416243655,9.44444444444444,96.25,38.4615384615385,88.5786802030457,18.1818181818182,95.6164383561644,80.7692307692308,58.6294416243655,11.4130434782609,97.8813559322034,19.2307692307692,94.4162436548223,18.5185185185185,94.6564885496183,76.9230769230769,57.6142131979695,10.6951871657754,97.4248927038627,0,100,NA,93.8095238095238
"4",3120,98,6,18,19,78,3,38,22,102,6,14,19,76,0,40,25,101,7,15,18,71,4,45,21,116,25,0,0,141,76,84.4827586206897,51.3513513513513,94.2307692307692,88,67.2413793103448,36.6666666666667,96.2962962962963,76,87.9310344827586,57.5757575757576,94.4444444444444,100,65.5172413793103,38.4615384615385,100,72,87.0689655172414,54.5454545454545,93.5185185185185,84,61.2068965517241,31.8181818181818,94.6666666666667,0,100,NA,82.2695035460993
"5",3160,22,9,103,761,7,1,118,769,31,8,94,762,17,0,108,770,26,6,99,764,6,1,119,769,125,770,0,0,895,98.8311688311688,17.6,88.0787037037037,70.9677419354839,99.8701298701299,5.6,86.6967305524239,87.5,98.961038961039,24.8,89.018691588785,79.4871794871795,100,13.6,87.6993166287016,100,99.2207792207792,20.8,88.5283893395133,81.25,99.8701298701299,4.8,86.5990990990991,85.7142857142857,0,100,NA,13.9664804469274
"6",3190,40,9,17,17,4,2,53,24,38,4,19,22,6,1,51,25,40,9,17,17,2,0,55,26,12,0,45,26,83,65.3846153846154,70.1754385964912,50,81.6326530612245,92.3076923076923,7.01754385964912,31.1688311688312,66.6666666666667,84.6153846153846,66.6666666666667,53.6585365853659,90.4761904761905,96.1538461538462,10.5263157894737,32.8947368421053,85.7142857142857,65.3846153846154,70.1754385964912,50,81.6326530612245,100,3.50877192982456,32.0987654320988,100,100,21.0526315789474,36.6197183098592,100
"7",3250,256,112,139,359,16,1,379,470,271,123,124,348,42,3,353,468,281,131,114,340,38,4,357,467,395,471,0,0,866,76.2208067940552,64.8101265822785,72.0883534136546,69.5652173913043,99.7876857749469,4.05063291139241,55.359246171967,94.1176470588235,73.8853503184713,68.6075949367089,73.728813559322,68.7817258883249,99.3630573248408,10.6329113924051,57.0036540803898,93.3333333333333,72.1868365180467,71.1392405063291,74.8898678414097,68.2038834951456,99.1507430997877,9.62025316455696,56.6747572815534,90.4761904761905,0,100,NA,45.6120092378753
"8",3390,352,72,53,79,173,8,232,143,350,60,55,91,173,10,232,141,351,63,54,88,185,10,220,141,405,151,0,0,556,52.317880794702,86.9135802469136,59.8484848484849,83.0188679245283,94.7019867549669,42.7160493827161,38.1333333333333,95.5801104972376,60.2649006622517,86.4197530864197,62.3287671232877,85.3658536585366,93.3774834437086,42.7160493827161,37.8016085790885,94.5355191256831,58.2781456953642,86.6666666666667,61.9718309859155,84.7826086956522,93.3774834437086,45.679012345679,39.0581717451524,94.8717948717949,0,100,NA,72.841726618705
"9",3850,56,30,10,16,19,2,47,44,61,24,5,22,26,1,40,45,51,21,15,25,20,2,46,44,12,2,54,44,112,34.7826086956522,84.8484848484848,61.5384615384615,65.1162790697674,95.6521739130435,28.7878787878788,48.3516483516484,90.4761904761905,47.8260869565217,92.4242424242424,81.4814814814815,71.7647058823529,97.8260869565217,39.3939393939394,52.9411764705882,96.2962962962963,54.3478260869565,77.2727272727273,62.5,70.8333333333333,95.6521739130435,30.3030303030303,48.8888888888889,90.9090909090909,95.6521739130435,18.1818181818182,44.8979591836735,85.7142857142857
"10",3870,191,48,98,253,8,0,281,301,209,57,80,244,16,1,273,300,218,58,71,243,29,2,260,299,289,301,0,0,590,84.0531561461794,66.0899653979239,72.0797720797721,79.9163179916318,100,2.7681660899654,51.7182130584193,100,81.063122923588,72.318339100346,75.3086419753086,78.5714285714286,99.6677740863787,5.5363321799308,52.3560209424084,94.1176470588235,80.7308970099668,75.4325259515571,77.3885350318471,78.9855072463768,99.3355481727575,10.0346020761246,53.4883720930233,93.5483870967742,0,100,NA,48.9830508474576
"11",3880,443,53,54,24,232,3,265,74,415,40,82,37,246,3,251,74,427,38,70,39,246,3,251,74,497,77,0,0,574,31.1688311688312,89.1348088531187,30.7692307692308,89.3145161290323,96.1038961038961,46.6800804828974,21.8289085545723,98.7234042553192,48.0519480519481,83.5010060362173,31.0924369747899,91.2087912087912,96.1038961038961,49.4969818913481,22.7692307692308,98.7951807228916,50.6493506493506,85.9154929577465,35.7798165137615,91.8279569892473,96.1038961038961,49.4969818913481,22.7692307692308,98.7951807228916,0,100,NA,86.5853658536585
"12",3930,523,168,93,100,93,16,523,252,515,143,101,125,135,10,481,258,477,125,139,143,143,7,473,261,616,268,0,0,884,37.3134328358209,84.9025974025974,51.8134715025907,75.6874095513748,94.0298507462687,15.0974025974026,32.5161290322581,85.3211009174312,46.6417910447761,83.6038961038961,55.3097345132743,78.2674772036474,96.2686567164179,21.9155844155844,34.9120433017591,93.1034482758621,53.3582089552239,77.4350649350649,50.709219858156,79.2358803986711,97.3880597014925,23.2142857142857,35.558583106267,95.3333333333333,0,100,NA,69.683257918552
"13",3940,279,41,196,383,113,2,362,422,280,34,195,390,119,3,356,421,288,42,187,382,113,5,362,419,475,424,0,0,899,90.3301886792453,58.7368421052632,66.1485319516407,87.1875,99.5283018867924,23.7894736842105,53.8265306122449,98.2608695652174,91.9811320754717,58.9473684210526,66.6666666666667,89.171974522293,99.2924528301887,25.0526315789474,54.1827541827542,97.5409836065574,90.0943396226415,60.6315789473684,67.1353251318102,87.2727272727273,98.8207547169811,23.7894736842105,53.6491677336748,95.7627118644068,0,100,NA,52.8364849833148
"14",3960,15,2,30,25,1,1,44,26,32,3,13,24,7,1,38,26,17,6,28,21,0,1,45,26,9,2,36,25,72,92.5925925925926,33.3333333333333,45.4545454545455,88.2352941176471,96.2962962962963,2.22222222222222,37.1428571428571,50,88.8888888888889,71.1111111111111,64.8648648648649,91.4285714285714,96.2962962962963,15.5555555555556,40.625,87.5,77.7777777777778,37.7777777777778,42.8571428571429,73.9130434782609,96.2962962962963,0,36.6197183098592,0,92.5925925925926,20,40.9836065573771,81.8181818181818
"15",4020,80,24,48,103,27,4,101,123,92,17,36,110,52,1,76,126,84,24,44,103,42,2,86,125,128,127,0,0,255,81.1023622047244,62.5,68.2119205298013,76.9230769230769,96.8503937007874,21.09375,54.9107142857143,87.0967741935484,86.6141732283465,71.875,75.3424657534247,84.4036697247707,99.2125984251969,40.625,62.3762376237624,98.1132075471698,81.1023622047244,65.625,70.0680272108844,77.7777777777778,98.4251968503937,32.8125,59.2417061611374,95.4545454545455,0,100,NA,50.1960784313725
"16",4021,88,7,24,31,64,0,48,38,92,10,20,28,67,0,45,38,87,5,25,33,67,0,45,38,29,4,83,34,150,81.5789473684211,78.5714285714286,56.3636363636364,92.6315789473684,100,57.1428571428571,44.1860465116279,100,73.6842105263158,82.1428571428571,58.3333333333333,90.1960784313726,100,59.8214285714286,45.7831325301205,100,86.8421052631579,77.6785714285714,56.8965517241379,94.5652173913043,100,59.8214285714286,45.7831325301205,100,89.4736842105263,25.8928571428571,29.0598290598291,87.8787878787879
"17",4050,93,29,244,267,6,0,331,296,155,36,182,260,10,0,327,296,169,52,168,244,6,0,331,296,337,296,0,0,633,90.2027027027027,27.5964391691395,52.2504892367906,76.2295081967213,100,1.78041543026706,47.2089314194577,100,87.8378378378378,45.9940652818991,58.8235294117647,81.151832460733,100,2.9673590504451,47.5120385232745,100,82.4324324324324,50.1483679525223,59.2233009708738,76.4705882352941,100,1.78041543026706,47.2089314194577,100,0,100,NA,53.2385466034755
