"","aou","abs_abs_glmocc","abs_pres_glmocc","pres_abs_glmocc","pres_pres_glmocc","abs_abs_glmpr","abs_pres_glmpr","pres_abs_glmpr","pres_pres_glmpr","abs_abs_gamocc","abs_pres_gamocc","pres_abs_gamocc","pres_pres_gamocc","abs_abs_gampr","abs_pres_gampr","pres_abs_gampr","pres_pres_gampr","abs_abs_rfocc","abs_pres_rfocc","pres_abs_rfocc","pres_pres_rfocc","abs_abs_rfpr","abs_pres_rfpr","pres_abs_rfpr","pres_pres_rfpr","abs_abs_maxpr","abs_pres_maxpr","pres_abs_maxpr","pres_pres_maxpr","length","sensitivity_glmocc","specificity_glmocc","pp_glmocc","np_glmocc","sensitivity_glmpr","specificity_glmpr","pp_glmpr","np_glmpr","sensitivity_gamocc","specificity_gamocc","pp_gamocc","np_gamocc","sensitivity_gampr","specificity_gampr","pp_gampr","np_gampr","sensitivity_rfocc","specificity_rfocc","pp_rfocc","np_rfocc","sensitivity_rfpr","specificity_rfpr","pp_rfpr","np_rfpr","sensitivity_max","specificity_max","pp_max","np_max"
"1",2881,114,45,11,23,97,15,28,53,121,54,4,14,103,19,22,49,111,34,14,34,102,16,23,52,91,10,34,58,193,33.8235294117647,91.2,67.6470588235294,71.6981132075472,77.9411764705882,77.6,65.4320987654321,86.6071428571429,20.5882352941176,96.8,77.7777777777778,69.1428571428571,72.0588235294118,82.4,69.0140845070423,84.4262295081967,50,88.8,70.8333333333333,76.551724137931,76.4705882352941,81.6,69.3333333333333,86.4406779661017,85.2941176470588,72.8,63.0434782608696,90.0990099009901
"2",2890,65,110,7,285,15,13,57,382,64,113,8,282,38,23,34,372,68,108,4,287,34,16,38,379,2,3,70,392,467,72.1518987341772,90.2777777777778,97.6027397260274,37.1428571428571,96.7088607594937,20.8333333333333,87.0159453302961,53.5714285714286,71.3924050632911,88.8888888888889,97.2413793103448,36.1581920903955,94.1772151898734,52.7777777777778,91.6256157635468,62.2950819672131,72.6582278481013,94.4444444444444,98.6254295532646,38.6363636363636,95.9493670886076,47.2222222222222,90.8872901678657,68,99.2405063291139,2.77777777777778,84.8484848484848,40
"3",3000,215,136,17,52,170,62,62,126,226,155,6,33,172,62,60,126,218,124,14,64,169,55,63,133,124,22,108,166,420,27.6595744680851,92.6724137931034,75.3623188405797,61.2535612535613,67.0212765957447,73.2758620689655,67.0212765957447,73.2758620689655,17.5531914893617,97.4137931034483,84.6153846153846,59.3175853018373,67.0212765957447,74.1379310344828,67.741935483871,73.5042735042735,34.0425531914894,93.9655172413793,82.051282051282,63.7426900584795,70.7446808510638,72.8448275862069,67.8571428571429,75.4464285714286,88.2978723404255,53.448275862069,60.5839416058394,84.9315068493151
"4",3120,73,30,3,35,66,17,10,48,67,31,9,34,60,16,16,49,72,27,4,38,62,13,14,52,58,7,18,58,141,53.8461538461538,96.0526315789474,92.1052631578947,70.873786407767,73.8461538461539,86.8421052631579,82.7586206896552,79.5180722891566,52.3076923076923,88.1578947368421,79.0697674418605,68.3673469387755,75.3846153846154,78.9473684210526,75.3846153846154,78.9473684210526,58.4615384615385,94.7368421052632,90.4761904761905,72.7272727272727,80,81.5789473684211,78.7878787878788,82.6666666666667,89.2307692307692,76.3157894736842,76.3157894736842,89.2307692307692
"5",3160,8,26,9,852,3,4,14,874,11,37,6,841,8,12,9,866,10,19,7,859,4,3,13,875,0,0,17,878,895,97.0387243735763,47.0588235294118,98.9547038327526,23.5294117647059,99.5444191343963,17.6470588235294,98.4234234234234,42.8571428571429,95.7858769931663,64.7058823529412,99.2916174734357,22.9166666666667,98.6332574031891,47.0588235294118,98.9714285714286,40,97.8359908883827,58.8235294117647,99.1916859122402,34.4827586206897,99.6583143507973,23.5294117647059,98.536036036036,57.1428571428571,100,0,98.1005586592179,NA
"6",3190,3,34,4,42,4,6,3,70,6,36,1,40,5,6,2,70,3,33,4,43,1,0,6,76,1,0,6,76,83,55.2631578947368,42.8571428571429,91.304347826087,8.10810810810811,92.1052631578947,57.1428571428571,95.8904109589041,40,52.6315789473684,85.7142857142857,97.5609756097561,14.2857142857143,92.1052631578947,71.4285714285714,97.2222222222222,45.4545454545455,56.578947368421,42.8571428571429,91.4893617021277,8.33333333333333,100,14.2857142857143,92.6829268292683,100,100,14.2857142857143,92.6829268292683,100
"7",3250,74,287,13,492,7,9,80,770,82,307,5,472,27,28,60,751,83,312,4,467,21,18,66,761,1,1,86,778,866,63.1578947368421,85.0574712643678,97.4257425742574,20.4986149584488,98.8446726572529,8.04597701149425,90.5882352941177,43.75,60.5905006418485,94.2528735632184,98.9517819706499,21.0796915167095,96.405648267009,31.0344827586207,92.6017262638718,49.0909090909091,59.9486521181001,95.4022988505747,99.1507430997877,21.0126582278481,97.6893453145058,24.1379310344828,92.0193470374849,53.8461538461538,99.8716302952503,1.14942528735632,90.0462962962963,50
"8",3390,193,226,4,133,124,58,73,301,192,214,5,145,127,64,70,295,190,204,7,155,138,54,59,305,75,28,122,331,556,37.0473537604457,97.9695431472081,97.0802919708029,46.0620525059666,83.8440111420613,62.9441624365482,80.4812834224599,68.1318681318681,40.3899721448468,97.4619289340102,96.6666666666667,47.2906403940887,82.1727019498607,64.4670050761421,80.8219178082192,66.4921465968586,43.1754874651811,96.4467005076142,95.679012345679,48.2233502538071,84.958217270195,70.0507614213198,83.7912087912088,71.875,92.2005571030641,38.0710659898477,73.0684326710817,72.8155339805825
"9",3850,25,43,2,42,8,11,19,74,20,48,7,37,16,12,11,73,23,32,4,53,12,9,15,76,4,7,23,78,112,49.4117647058824,92.5925925925926,95.4545454545455,36.7647058823529,87.0588235294118,29.6296296296296,79.5698924731183,42.1052631578947,43.5294117647059,74.0740740740741,84.0909090909091,29.4117647058824,85.8823529411765,59.2592592592593,86.9047619047619,57.1428571428571,62.3529411764706,85.1851851851852,92.9824561403509,41.8181818181818,89.4117647058824,44.4444444444444,83.5164835164835,57.1428571428571,91.7647058823529,14.8148148148148,77.2277227722772,36.3636363636364
"10",3870,51,189,7,343,0,8,58,524,53,208,5,324,8,24,50,508,56,211,2,321,15,18,43,514,3,3,55,529,590,64.4736842105263,87.9310344827586,98,21.25,98.4962406015038,0,90.0343642611684,0,60.9022556390977,91.3793103448276,98.4802431610942,20.3065134099617,95.4887218045113,13.7931034482759,91.0394265232975,25,60.3383458646617,96.551724137931,99.3808049535604,20.9737827715356,96.6165413533835,25.8620689655172,92.2800718132855,45.4545454545455,99.4360902255639,5.17241379310345,90.5821917808219,50
"11",3880,239,201,15,119,188,47,66,273,249,201,5,119,201,54,53,266,249,184,5,136,201,35,53,285,173,27,81,293,574,37.1875,94.0944881889764,88.8059701492537,54.3181818181818,85.3125,74.0157480314961,80.5309734513274,80,37.1875,98.0314960629921,95.9677419354839,55.3333333333333,83.125,79.1338582677165,83.3855799373041,78.8235294117647,42.5,98.0314960629921,96.4539007092199,57.5057736720554,89.0625,79.1338582677165,84.3195266272189,85.1694915254237,91.5625,68.1102362204724,78.3422459893048,86.5
"12",3930,177,387,21,299,68,39,130,647,191,432,7,254,103,39,95,647,181,374,17,312,107,40,91,646,63,18,135,668,884,43.5860058309038,89.3939393939394,93.4375,31.3829787234043,94.3148688046647,34.3434343434343,83.2689832689833,63.5514018691589,37.0262390670554,96.4646464646465,97.3180076628352,30.6581059390048,94.3148688046647,52.020202020202,87.1967654986523,72.5352112676056,45.4810495626822,91.4141414141414,94.8328267477204,32.6126126126126,94.1690962099125,54.040404040404,87.6526458616011,72.7891156462585,97.3760932944606,31.8181818181818,83.1880448318804,77.7777777777778
"13",3940,131,186,7,575,80,39,58,722,134,186,4,575,85,38,53,723,135,194,3,567,79,38,59,723,58,15,80,746,899,75.5584756898817,94.9275362318841,98.7972508591065,41.3249211356467,94.8751642575558,57.9710144927536,92.5641025641026,67.2268907563025,75.5584756898817,97.1014492753623,99.3091537132988,41.875,95.0065703022339,61.5942028985507,93.1701030927835,69.1056910569106,74.5072273324573,97.8260869565217,99.4736842105263,41.0334346504559,95.0065703022339,57.2463768115942,92.4552429667519,67.5213675213675,98.0289093298292,42.0289855072464,90.3147699757869,79.4520547945205
"14",3960,1,13,7,51,2,4,6,60,6,34,2,30,2,10,6,54,3,15,5,49,0,1,8,63,0,0,8,64,72,79.6875,12.5,87.9310344827586,7.14285714285714,93.75,25,90.9090909090909,33.3333333333333,46.875,75,93.75,15,84.375,25,90,16.6666666666667,76.5625,37.5,90.7407407407407,16.6666666666667,98.4375,0,88.7323943661972,0,100,0,88.8888888888889,NA
"15",4020,43,55,10,147,16,16,37,186,49,61,4,141,31,25,22,177,47,61,6,141,33,6,20,196,14,1,39,201,255,72.7722772277228,81.1320754716981,93.6305732484076,43.8775510204082,92.0792079207921,30.188679245283,83.4080717488789,50,69.8019801980198,92.4528301886792,97.2413793103448,44.5454545454545,87.6237623762376,58.4905660377358,88.9447236180904,55.3571428571429,69.8019801980198,88.6792452830189,95.9183673469388,43.5185185185185,97.029702970297,62.2641509433962,90.7407407407407,84.6153846153846,99.5049504950495,26.4150943396226,83.75,93.3333333333333
"16",4021,62,28,5,55,50,14,17,69,56,38,11,45,48,18,19,65,60,26,7,57,53,13,14,70,50,7,17,76,150,66.2650602409639,92.5373134328358,91.6666666666667,68.8888888888889,83.1325301204819,74.6268656716418,80.2325581395349,78.125,54.2168674698795,83.5820895522388,80.3571428571429,59.5744680851064,78.3132530120482,71.6417910447761,77.3809523809524,72.7272727272727,68.6746987951807,89.5522388059701,89.0625,69.7674418604651,84.3373493975904,79.1044776119403,83.3333333333333,80.3030303030303,91.566265060241,74.6268656716418,81.7204301075269,87.719298245614
"17",4050,11,101,26,495,3,1,34,595,27,172,10,424,7,10,30,586,27,169,10,427,3,0,34,596,0,0,37,596,633,83.0536912751678,29.7297297297297,95.0095969289827,9.82142857142857,99.8322147651007,8.10810810810811,94.5945945945946,75,71.1409395973154,72.972972972973,97.6958525345622,13.5678391959799,98.3221476510067,18.9189189189189,95.1298701298701,41.1764705882353,71.6442953020134,72.972972972973,97.7116704805492,13.7755102040816,100,8.10810810810811,94.6031746031746,100,100,0,94.1548183254344,NA
"18",4060,217,199,18,191,162,47,73,343,232,216,3,174,171,59,64,331,231,189,4,201,166,55,69,335,134,35,101,355,625,48.974358974359,92.3404255319149,91.3875598086124,52.1634615384615,87.9487179487179,68.936170212766,82.4519230769231,77.511961722488,44.6153846153846,98.7234042553192,98.3050847457627,51.7857142857143,84.8717948717949,72.7659574468085,83.7974683544304,74.3478260869565,51.5384615384615,98.2978723404255,98.0487804878049,55,85.8974358974359,70.6382978723404,82.9207920792079,75.1131221719457,91.025641025641,57.0212765957447,77.8508771929825,79.2899408284024
"19",4090,1,40,3,478,0,3,4,515,2,60,2,458,1,9,3,509,3,59,1,459,0,0,4,518,0,0,4,518,522,92.2779922779923,25,99.3762993762994,2.4390243902439,99.4208494208494,0,99.2292870905588,0,88.4169884169884,50,99.5652173913043,3.2258064516129,98.2625482625483,25,99.4140625,10,88.6100386100386,75,99.7826086956522,4.83870967741935,100,0,99.2337164750958,NA,100,0,99.2337164750958,NA
"20",4120,38,47,15,566,22,9,31,604,50,95,3,518,28,16,25,597,52,109,1,504,26,8,27,605,19,5,34,608,666,92.3327895595432,71.6981132075472,97.4182444061962,44.7058823529412,98.531810766721,41.5094339622642,95.1181102362205,70.9677419354839,84.5024469820555,94.3396226415094,99.4241842610365,34.4827586206897,97.3898858075041,52.8301886792453,95.9807073954984,63.6363636363636,82.2185970636215,98.1132075471698,99.8019801980198,32.2981366459627,98.694942903752,49.0566037735849,95.7278481012658,76.4705882352941,99.184339314845,35.8490566037736,94.7040498442368,79.1666666666667
